names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Molalla River Academy,16897 S. Callahan Rd.,"Molalla, OR 97038",503-829-6672,2009,163,K-8,Open,,-122.521711,45.120529
Mosier Community School,1204 First Ave.,"Mosier, OR 97040",541-478-3321,2002,128,K-6,Open,Multi-age learning environment and focus on core curriculum.,-121.400604,45.683216
Muddy Creek Charter School,30252 Bellfountain Rd.,"Corvallis, OR 97333",541-752-0377,2008,63,K-5,Open,"Nature based program. Expand academic instruction through hands-on projects encompassing the sciences, arts, humanities and technology.",-123.337859,44.459109
Multisensory Learning Academy,102 NE 172nd Avenue,"Portland, OR 97230",503-261-0202,2001,113,K-5,Open,"Provides instruction using auditory, visual, and motor-kinesthetic models; small school environment.",-122.4861157,45.5228443
Network Charter School,"45 W. Broadway, Ste. 201","Eugene, OR 97401",541-344-1229,2003,120,12-Jul,Open,Work-based and project-based instruction.,-123.0933291,44.0500478
Nixyaawii Community School,73300 July Grounds Ln.,"Pendleton, OR 97801",541-966-2680,2004,55,12-Sep,Open,Curriculum designed around group projects and Indian culture. Native American population.,-118.663429,45.6657834
North Columbia Academy,26168 Old Rainier Rd.,"Rainier, OR 97048",503-556-5041,2004,34,12-Sep,Open,Alternative curriculum for students who struggle in a traditional learning environment.,-123.0287469,46.0932927
Optimum Learning Environment Charter School,7905 June Reid Place NE,"Keizer, OR 97303",503-399-5548,2002,125,5-Jan,Open,Offers before and after school childcare.,-123.01973,45.033314
Oregon City Service Learning Academy (OCSLA),1104 John Adams,"Oregon City, OR 97045",503-785-8445,2006,90,12-Sep,Open,"Curriculum centered around service learning, which connects classroom learning with community service and life experience.",-122.6011502,45.3589296
Oregon Coast Technology School (ORCO Tech),1913 Meade St.,"North Bend, OR 97459",541-756-8307,2003,290,11-Jun,Open,Incorporates technological programs in with core curriculum.,-124.2271894,43.4077491
Oregon Connections Academy (ORCA),38875 NW First Ave.,"Scio, OR 97374",503-394-4315,2005,1311,K-11,Open,Will expand to 11-12 grades; Individual learning program with an online focus.,-122.847696,44.708337
Oregon Trail Primary Acadaemy,,"Sandy, OR ",503-668-5541,2010,125,K-4,Open,,-122.2614761,45.3973427
Oregon Virtual Academy,1810 Monroe St.,"North Bend, OR 97459",541-751-8060,2008,900,K-8,Open,An online education program that combines powerful technology with a traditional curriculum.,-124.2282639,43.4090891
Paisley Charter School,260 Green St.,"Paisley, OR 97636",541-943-3111,2003,77,K-12,Open,Offers technical courses in addition to core curriculum.,-120.5432973,42.6936961
Phoenix School of Roseburg,3131 NE Diamond Lake Blvd.,"Roseburg, OR 97470",541-673-3036,2005,198,12-Aug,Open,Focus on horticulture and culinary skills.,-123.310212,43.211973
Portland Arthur Academy,7507 SE Yamhill,"Portland, OR 97215",503-257-3936,2005,137,K-5,Open,Direct Instruction and Core Knowledge curriculum.,-122.5858421,45.5164353
Portland Village School,7654 N. Delaware Ave.,"Portland, OR 97217",503-445-0056,2007,155,K-4,Open,"Waldorf School model. An arts-integrated, participatory curriculum. Will expand to grade 8.",-122.6921644,45.5785768
Powell Butte Community Charter School (PBCCS),,", OR ",,2010,146,K-6,Open,,-120.5542012,43.8041334
Prospect Charter School,160 Mill Creek Dr. P.O. Box 40,"Prospect, OR 97536",541-560-3653,2009,174,K-12,Open,,-122.48868,42.7542894
Prospect Schools,160 Mill Creek Drive,"Prospect, OR 97536",541-560-3653,2009,258,K-12,Open,Emphasis on family and community involvement.,-122.48868,42.7542894
REALMS,1501 NE Neff Rd.,"Bend, OR 97701",541-322-5323,2001,59,8-Jun,Open,Expeditionary Learning and Outward Bound curriculum.,-121.2841797,44.064751
Redmond Proficiency Academy,631 W. Antler Ave.,"Redmond, OR 97756",541-526-0882,2009,150,12-Sep,Open,"The course load may include a mix of internet-based, individual, and group-based instruction. Students may also outline possible internships to obtain both real-world work experience and education at the same time.",-121.175076,44.2767679
Renaissance Public Academy,,", OR ",503-759-7002,2010,70,11-May,Open,,-120.5542012,43.8041334
Resource Link Charter School,755 S. 7th St.,"Coos Bay, OR 97420",541-267-1499,2003,60,K-12,Open,Uses traditional classroom settings and online classes to deliver individualized learning plans. Project based learning.,-124.2189683,43.3614855
Reynolds Arthur Academy,123 SW 21st St.,"Troutdale, OR 97060",503-465-8882,2004,161,K-6,Open,Direct Instruction and Core Knowledge curriculum.,-122.3874453,45.5263512
Ridgeline Montessori Public Charter School,2855 Lincoln St. #C,"Eugene, OR 97405",541-681-9662,2000,229,K-8,Open,Employs the Montessori philosophy.,-123.096257,44.027219
Sage Community School,43580 Hwy. 62,"Chiloquin, OR 97624",541-783-2533,2007,54,PreK-6,Open,"A place-based learning model focusing on southern Oregon natural resources, agriculture and Klamath Tribal culture. The curriculum integrates core instruction with experiential learning and character education.",-121.938652,42.61976
Sand Ridge Charter School,30581 Sodaville-Mountain Home Rd.,"Lebanon, OR 97355",541-258-2416,2002,258,K-12,Open,"Individual plans for students and Core Knowledge program delivered in small learning groups, with emphasis on back-to-basics and direct instruction",-122.8706239,44.4812686
SEI Academy Charter Middle School,3920 N. Kerby Ave.,"Portland, OR 97227",503-249-1721,2004,134,7-Jun,Open,"Curricular focus on academics, performing arts and athletics.",-122.67122,45.551431
Sheridan AllPrep Academy,"8800 Sunnyside Road, suite 300","Clackamas, OR 97015",503-654-1642,2009,150,K-12,Open,,-122.5728267,45.4328224
Sheridan Japanese School,340 SW Monroe St.,"Sheridan, OR 97378",503-843-7437,2003,86,12-Apr,Open,"Small, unique, multi-age learning environment, high academic expectations. Develops second language skills. Focuses on Japanese language and culture.",-123.3984978,45.0977598
Sherwood Charter School,23264 SW Main St.,"Sherwood, OR 97140",503-925-8007,2005,120,K-5,Open,Uses the Core Knowledge curriculum.,-122.839943,45.351419
Siletz Valley Early College Academy,"245 James Frank Ave., NW","Siletz, OR 97380",541-444-1100,2006,59,12-Sep,Open,Students can earn college credit simultaneously with their high school diploma.,-123.9225546,44.723807
Siletz Valley Early School,245 James Frank Ave. NW,"Siletz, OR 97380",541-444-1100,2003,190,K-8,Open,Program teaches self-discipline and initiative. Provides close interaction between students and teachers and group projects. Native American population.,-123.9225546,44.723807
Silvies AllPrep Academy,"8800 Sunnyside Road, Suite 300","Clackamas, OR 97015",503-867-3000,2009,130,K-12,Open,,-122.5728267,45.4328224
South Columbia Family School,33590 High School Way,"Scappoose, OR 97056",503-543-7077,2004,39,K-8,Open,Instructional focus is home-based and independent study.,-122.8753857,45.7495696
Southwest Charter School,5839 SW Hood Ave.,"Portland, OR 97239",503-244-1697,2007,35,K-6,Open,Offers a curriculum in which children can explore the natural world and be involved in the community through arts and sciences.,-122.67513,45.481322
Springwater Environmental Sciences School,16491 S. Springwater Rd.,"Oregon City, OR 97045",503-631-7700,2006,150,K-6,Open,Uses environmental science to engage children in learning. Student interests direct curriculum. Will expand to 8.,-122.467032,45.366878
St. Helens Arthur Academy,33035 Pittsburgh Rd.,"St. Helens, OR 97051",503-366-7030,2007,172,K-7,Open,"Everybody reads curriculum, direct instruction method",-122.887083,45.866984
Sweet Home Charter School,1805 Long St.,"Sweet Home, OR 97386",541-367-1833,2006,80,K-4,Open,"Individual plans for students and Core Knowledge program delivered in small learning groups, with emphasis on back-to-basics and direct instruction. 90 student cap",-122.7228811,44.397846
The Ivy School,4212 NE Prescott St.,"Portland, OR 97218",503-422-3608,2009,60,3-Jan,Open,Bilingual Montessori-style Program; Expanding to 1-8 with 240 students,-122.619913,45.555231
Three Rivers Charter School,4975 Willamette Falls Dr.,"West Linn, OR 97068",503-723-6019,2001,100,8-Apr,Open,Small school setting centered on high standards and independence.,-122.612133,45.36046
Trillium Charter School,5420 N. Interstate Ave,"Portland, OR 97217",503-285-3833,2002,296,K-12,Open,Emphasizes independent learning within a small school environment.,-122.6819972,45.5620898
Village School,2855 Lincoln St.,"Eugene, OR 97405",541-345-7285,2000,194,K-8,Open,"Uses the Waldorf model, a holistic and arts-integrated curriculum.",-123.096257,44.027219
West Lane Technology Learning Center,24936 Fir Grove Ln.,"Elmira, OR 97437",541-935-2101,2003,75,12-Sep,Open,"Computer assisted curriculum, direct instruction and tutoring. Provides credit recovery and ability to earn modified diploma.",-123.360507,44.073455
West Side Dual Language Charter Academy,3685 Belmont Dr.,"Hood River, OR 97031",541-386-1535,2006,262,K-5,Open,Dual language immersion program in English and Spanish,-121.542671,45.695117
Willamette Leadership Academy,87230 Central Rd.,"Eugene, OR 97402",541-935-6812,2000,110,12-Jun,Open,Military academy with an intervention and education program designed to serve students who are unsuccessful in traditional schools.,-123.309503,44.0117979
Woodburn Arthur Academy,591 Gatch St.,"Woodburn, OR 97071",503-981-5746,2004,132,K-5,Open,Direct Instruction and Core Knowledge curriculum.,-122.848348,45.141429
Riddle Education Center,127 Main St.,"Riddle, OR 97469",541-874-3202,2004,33,12-Jul,Open,Alternative curriculum for students who struggle with traditional curriculum.,-123.3652829,42.9498836
REAL Prep Charter Academy,1327 SE Tacoma St. #235,"Portland, OR 97202",971-678-5264,2011,,,Approved,"Recording, Entertainment, Arts and Literacy curriculum",-122.6522533,45.4644497
Sisters Web Academy,490 E Cascade Ave,"Sisters, OR 97015",,2008,,,Closed,Financial - School was no longer financially viable and had to close immediately because they didnt have the funds to remain open for the year.,-121.545294,44.291561
21st Century Cyber Charter School,805 Springdale Dr,"Exton, PA 19355",484-875-5400,2000,550,12-Jun,Open,"Engages students in a highly motivational, student-centered educational program that utilizes the latest information and communications technology to maximize student achievement.",-75.60026,40.027927
Academy Charter School,900 Agnew Rd.,"Pittsburgh, PA 15227",412-885-5200,2005,105,12-Aug,Open,Addresses needs of youth who are active in Juvenile Justice System.,-79.9677235,40.3993538
ACCEL Community Cyber Program,717 Long Lane #2,"Upper Darby, PA 19082",610-259-1305,2007,10,K-12,Open,Individualized virtual curriculum that provides an excellent cyber school and life and social skills programs.,-75.2600155,39.9475415
Achievement House Charter School,"1021 W. Lancaster Ave., Ste. 207","Bryn Mawr, PA 19010",610-527-0143,2004,368,12-Sep,Open,Students are able to meet their high school requirements and receive a diploma.,-75.3233474,40.0240534
Ad Prima/Laboratory Charter School,5901 Woodbine Ave.,"Philadelphia, PA 19131",215-452-5580,2004,452,K-5,Open,Emphasis on academic excellence and conflict resolution.,-75.242451,39.9880698
Agora Cyber Charter School,60 Chestnut Ave.,"Devon, PA 19333",866-548-9452,2005,600,K-12,Open,Preparation for higher education. Specially tailored research-based curriculum.,-75.4166276,40.0470139
Alliance for Progress Charter School,1821 Cecil B. Moore Ave.,"Philadelphia, PA 19121",215-232-4892,1999,297,K-5,Open,Offers family life education. Focus on science and math.,-75.1655779,39.9798227
Antonia Pantoja Charter School,4101 N. American St.,"Philadelphia, PA 19140",215-329-2733,2007,741,K-8,Open,,-75.131029,40.012148
Arise Academy Charter High School,"1101 Ludlow St., 2nd Floor","Philadelphia, PA 19107",267-259-6559,2009,200,12-Sep,Open,School designed for foster care children.,-75.158434,39.9510598
ASPIRA Bilingual Cyber Charter School (ABCS),"4322 North 5th Street, 3rd Floor","Philadelphia, PA 19140",215-455-1300,2010,,K-8,Open,Virtual School,-75.1347586,40.0171031
ASPIRA Inc. - John B. Steson Middle School,3200 B St,"Philadelphia, PA 19134",215-291-4720,2010,700,8-May,Open,,-75.12537,39.999002
Avon Grove Charter School,110 East State Rd.,"West Grove, PA 19390",484-667-5000,2002,1281,K-12,Open,Inquiry and discovery-based instruction.,-75.7924249,39.8216243
Bear Creek Community Charter School,2000 Bear Creek Blvd.,"Wilkes-Barre, PA 18702",570-820-4070,2004,405,K-8,Open,Innovative curriculum. Cultivates environmental stewardship.,-75.8005865,41.22194
Beaver Area Academic Charter School,855 Second St.,"Beaver, PA 15009",724-774-0250,2005,55,12-Sep,Open,Core education program. Uses Paskey Learning.,-80.306415,40.691649
Belmont Charter School,4030 Brown St.,"Philadelphia, PA 19104",215-823-8208,2002,401,K-8,Open,High-quality academics and extensive social service programs in a neighborhood with at-risk students.,-75.2046958,39.9671259
Boys Latin of Philadelphia Charter School,5501 Cedar Ave.,"Philadelphia, PA 19143",215-387-5149,2007,370,12-Sep,Open,"All boys school that provides academic rigor of Boston Latin, offers support services for students, after-school tutoring and summer programs.",-75.233437,39.9516659
Bucks County Montessori Charter School,219 Tyburn Rd.,"Fairless Hills, PA 19030",215-428-6700,2000,183,K-6,Open,"Montessori elementary. Offers Spanish, the performing arts, art and music.",-74.8032209,40.179512
Career Connections Charter High School,4412 Butler St.,"Pittsburgh, PA 15201",412-682-1816,1999,320,12-Sep,Open,"Small classes, an interdisciplinary curriculum, innovative teaching techniques and internship programs.",-79.959182,40.471742
Center for Student Learning Charter School,705 Hood Blvd.,"Fairless Hills, PA 19030",215-428-4100,2002,130,12-Jun,Open,"Positive educational environment for students who require an alternative due to the need for more individualized approach, or who are experiencing difficulty in a traditional school program.",-74.847788,40.173101
Central PA Digital Learning Foundation Charter School,1500 4th Avenue,"Altoona, PA 16602",814-940-6989,,165,K-12,Open,,-78.3969947,40.5085326
Central Pennsylvania Digital Charter School,1500 4th Ave.,"Altoona, PA 16602",814-940-6989,2002,176,K-12,Open,Student-centered educational program that relies on the basic foundation of educational principles while utilizing the latest information and communications technology to promote student achievement.,-78.3969947,40.5085326
Centre Learning Community Charter School,2643 W. College Ave.,"State College, PA 16801",814-861-7980,1998,104,8-May,Open,"Powerful, safe, active, project-based learning environment in which students develop necessary knowledge, skills and attributes leading to a successful life.",-77.8796217,40.7615477
Charter High School for Design and Architecture,105 South 7th Street,"Philadelphia, PA 19106",215-351-2900,1999,557,12-Sep,Open,Seeks to develop high standards through interactive processes and visual learning experiences.,-75.1523232,39.9490601
Chester Community Charter School,214 E. 5th St.,"Chester, PA 19013",610-447-0400,1998,2124,PreK-8,Open,"Features modern facilities, inclusive environment, individualized computer-based instruction, focus on high academic growth and achievement.",-75.3570591,39.8498212
Chester County Family Academy,323 E. Gay St.,"West Chester, PA 19380",610-696-5910,1997,55,K-2,Open,"Serves students living in low income families through hands-on, minds-on learning.",-75.600318,39.9632829
Christopher Columbus Charter Middle School,1242-46 S. 13th St.,"Philadelphia, PA 19147",215-389-6000,2001,779,K-8,Open,Emphasis on international language and computer technology.,-75.1654732,39.9339357
Christopher Columbus Charter School,916 Christian St.,"Philadelphia, PA 19147",215-925-7400,1999,779,K-8,Open,Emphasis on international language and computer technology.,-75.1585931,39.9390735
City Charter High School,"717 Liberty Ave., 9th Fl.","Pittsburgh, PA 15222",412-690-2489,2002,530,12-Sep,Open,"Curriculum based on educational best practices, industry and academic partnerships, organizational innovations and technological advances.",-80.005979,40.4423162
Collegium Charter School,535 James Hance Ct.,"Exton, PA 19341",610-903-1300,1999,1460,K-12,Open,Provides a classical education using technology.,-75.660031,40.01999
Commonwealth Connections Academy Charter School,"4050 Crums Mill Road, Suite 303","Harrisburg, PA 17112",717-651-7200,2003,5000,K-12,Open,"Quality, personalized education for students and their families outside the traditional classroom.",-76.8304099,40.3105566
Community Academy of Philadelphia,1100 E. Erie Ave.,"Philadelphia, PA 19124-5424",215-533-6700,1997,1209,PreK-12,Open,Seeks to effectively serve urban youth in search of a positive school experience in a supportive environment.,-75.1073685,40.005395
Crispus Attucks YouthBuild Charter School,605 S. Duke St.,"York, PA 17403",717-848-3610,1999,85,ages 17-21,Open,"Academic, work-related and leadership training with an emphasis on a successful transition to employment.",-76.7208159,39.9526132
Delaware Valley Charter High School,"5201 Old York Rd., Logan Plaza, Suite A","Philadelphia, PA 19141",215-455-2550,2000,650,12-Sep,Open,School-to-career program that is supported by rigorous academic curriculum.,-75.145782,40.0397682
Discovery Charter School,"5070 Parkside Ave., Ste. 6200","Philadelphia, PA 19131",215-879-8182,2003,550,K-8,Open,"Rigorous academics, quality instruction.",-75.2209747,39.9805519
Dr. Robert Ketterer Charter School,1133 Village Way,"Latrobe, PA 15650",724-537-9110,1998,225,12-Jan,Open,Success-driven curriculum for adjudicated youth.,-79.392974,40.307594
Eastern University Academy Charter School,"3 Falls Center, Suite 2/3300 Henry Ave","Philadelphia, PA 19129",215-769-3131,2009,118,12-Jul,Open,"Early college program, students prepare for and earn college credit prior to graduation",-75.183778,40.012694
Erin Dudley Forbes Charter School (EDFCS),225 Barnsley Rd.,"Oxford, PA 19363",610-932-8998,2001,80,K-6,Open,Provides the best possible early childhood education with a literature focus. Offers full day kindergarten.,-75.992471,39.761726
Esperanza Academy Charter High School,301 W. Hunting Park Ave.,"Philadelphia, PA 19140",215-457-3667,2000,650,12-Sep,Open,"Quality education that prepares critically thinking, socially capable, spiritually sensitive and culturally aware young adults who can use English, Spanish and technology as tools for success in the 21st century.",-75.1331817,40.0148311
Eugenio Maria De Hostos Community Bilingual Charter School,4322-42 N. 5th St.,"Philadelphia, PA 19140",215-455-2300,1998,200,K-8,Open,"Offers bilingual, bi-cultural curriculum.",-75.1347586,40.0171031
Evergreen Community School,"P.O. Box 523, Route 390","Mountainhome, PA 18342",570-595-6355,2006,52,12-Jun,Open,"Small classes, high level of community involvement, regular travel and hands-on liberal arts curriculum",-75.2700472,41.1762319
Family Charter School,907 N. 41st St.,"Philadelphia, PA 19104",215-790-1294,1998,150,K-4,Open,Social services based on curriculum.,-75.2057432,39.9705137
Fell Charter School,777 Main St.,"Simpson, PA 18407",570-282-5199,2002,249,K-12,Open,"Focus on high academic standards, student discipline, responsibility, respect for others, community involvement, multicultural learning and computer technology. Will expand to grade 12.",-75.4841392,41.598246
First Philadelphia Charter School for Literacy,4300 Tacony St.,"Philadelphia, PA 19124",215-743-3100,2002,724,K-8,Open,Core curriculum. Focus on literacy.,-75.08177,40.007125
Folk-Arts Cultural Treasures (FACTS) Charter School,1023 Callowhill St.,"Philadelphia, PA 19123",215-569-2600,2005,442,K-8,Open,"Love of learning in students with their own cultures and communities as well as others in our city, country and world. Focus on Asian culture and language through the arts.",-75.155801,39.958975
Franklin Towne Charter Elementary School,5301 Tacony St. Building 108,"Philadelphia, PA 19137",215-289-5000,2009,954,5-Mar,Open,,-75.0687865,40.0086256
Franklin Towne Charter High School,5301 Tacony St.,"Philadelphia, PA 19137",215-289-5000,2000,950,12-Sep,Open,Rigorous academics.,-75.0687865,40.0086256
Freire Charter School,2027 Chestnut St.,"Philadelphia, PA 19103",215-557-8555,1999,500,12-Sep,Open,"In-line with the work of Paolo Freire, connecting students? learning to family, home, workplace and community.",-75.174422,39.952473
GECAC Community Charter School,18 West 9th Street,"Erie, PA 16501",814-459-4581,1998,362,K-8,Open,Core curriculum. Focus on respect.,-80.0835478,42.1264382
Global Leadership Academy Charter School,5151 Warren Street,"Philadelphia, PA 19131",267-236-1157,2000,540,K-8,Open,Focuses on the study of aerospace and aviation.,-75.2258461,39.9757479
Graystone Academy Charter School,139 Modena Rd.,"Coatesville, PA 19320",610-383-4311,2002,500,K-8,Open,"Classical education using technology, extended school day and school year. Emphasizes core academics and Western civilization.",-75.812852,39.973708
Green Woods Charter School,8480 Hagys Mill Rd.,"Philadelphia, PA 19128",215-482-6337,2002,191,K-8,Open,Children learn the value of ethical behavior while participating in project-based learning.,-75.244735,40.0601985
Harambee Institute of Science Technology Charter School,640 N. 66th St.,"Philadelphia, PA 19151",215-472-8770,1997,518,K-8,Open,Science and technology with a community cultural and service based curriculum.,-75.2516319,39.9729831
Hardy Williams Academy Charter School,1712 S. 56th St.,"Philadelphia, PA 19143",215-728-3830,1999,860,PreK-8,Open,Formerly known as Renaissance Advantage Charter School. Focus on academics and character education.,-75.225553,39.9376512
Helen Thackston Charter School,625 E. Philadelphia St.,"York, PA 17403",717-846-6160,2009,180,7-Jun,Open,"Homeland security themed curriculum, which will help prepare students for careers in fields such as law enforcement.",-76.71624,39.968768
HOPE Charter High School,2116 E. Haines St.,"Philadelphia, PA 19138",267-336-2730,2002,440,12-Sep,Open,Serves at-risk students.,-75.15694,40.056272
Imagine Environmental Charter School at Frick Park,829 Milton St.,"Pittsburgh, PA 15218",412-247-7970,2008,360,K-5,Open,Integrates the environmental theme into the curricula by using the environment and ecology issues in a comprehensive science curriculum aligned with State standards. Will expand to grade 8.,-79.8968551,40.435787
Imani Education Circle Charter School,"5612 Greene St., 2nd Floor","Philadelphia, PA 19144",215-713-9240,1999,451,K-8,Open,"Uses a constructivist approach for teaching and learning, driven by high standards and a focus on education about African heritage.",-75.1762629,40.0338204
Imhotep Institute Charter High School,6201 N. 21st St,"Philadelphia, PA 19138",215-438-4140,1998,525,12-Sep,Open,Emphasis on high standards and character development.,-75.1546089,40.049239
Independence Charter School,1600 Lombard St.,"Philadelphia, PA 19146",215-238-8000,2001,732,K-8,Open,"Rigorous curriculum building a strong foundation of traditional skills, language and a knowledge of and appreciation for a wide range of world cultures as well as the arts.",-75.1685558,39.9450393
Infinity Charter School,"51 Banks St., Ste. 1","Penbrook, PA 17103",717-238-1880,2003,118,K-8,Open,"World-class charter school. Addresses the intellectual, academic and socio-emotional needs of mentally gifted children.",-76.849055,40.277139
Keystone Education Center Charter School,425 S. Good Hope Rd.,"Greenville, PA 16125",724-588-2511,1997,280,12-Jul,Open,Instills marketable skills and a strong work ethic in children who are not experiencing success in school.,-80.4474997,41.3988432
Khepera Charter School,144 W. Carpenter Ln.,"Philadelphia, PA 19119",215-843-1700,2004,334,K-8,Open,Rigorous academics and solid discipline.,-75.1897502,40.0521862
KIPP Philadelphia Charter School,"2709 N Broad St., 4th Fl.","Philadelphia, PA 19132",215-227-1728,2003,324,8-May,Open,"Develops the character, knowledge and skills of students so they succeed in top-quality high school, colleges and the world beyond.",-75.1720488,39.9955072
KIPP: West Philadelphia Preparatory Charter School,"5900 Baltimore Ave., 2nd floor","Philadelphia, PA 19143",215-294-2973,2009,90,5,Open,Will expand to 5-8 with 350 students,-75.2424824,39.9449004
La Academia: The Partnership Charter School,30 N. Ann St.,"Lancaster, PA 17602",717-295-7763,1998,105,12-Jun,Open,Innovative educational program for students with linguistic differences.,-76.295624,40.040042
Laboratory Charter School of Communication and Languages,800 North Orianna St.,"Philadelphia, PA 19123",610-617-9121,1998,437,K-8,Open,Emphasis on communication and international language.,-75.1437823,39.9638998
Leaders of Lincoln Charter School,559 W. King St.,"York, PA 17404",717-699-1573,2000,740,K-5,Open,"World-class education, featuring rigorous academics in a caring environment.",-76.742137,39.956852
Lehigh Valley Academy,"1560 Valley Center Pkwy., Ste. 200","Bethlehem, PA 18017",610-866-9660,2002,638,K-12,Open,"Opens portals of opportunity for children and adults in the community through excellence in public education. School features extended school days, IB programs, and character development.",-75.41001,40.654475
Lehigh Valley Charter High School for the Performing Arts,675 E. Broad St.,"Bethlehem, PA 18018",610-868-2971,2003,441,12-Sep,Open,"Performing arts program providing a rich and comprehensive educational program for students with talents and potential in either dance, instrumental music, vocal music or theater.",-75.3611148,40.6220793
Lincoln Leadership Academy,1414 E. Cedar St.,"Allentown, PA 18109",484-860-3300,2009,240,9-Jun,Open,School will focus on leadership development. Will expand to serve K-12.,-75.434298,40.622345
Lincoln Park Performing Arts Charter School,1 Lincoln Park,"Midland, PA 15059",724-643-9004,2006,380,12-Sep,Open,"College preparatory curriculum, individualized plans with training in music, theater, dance and media arts.",-80.4489929,40.6364921
Manchester Academic Charter School,1214 Liverpool St.,"Pittsburgh, PA 15233",412-322-0585,1997,220,K-8,Open,International language offered beginning at grade 1. Emphasis on developing cooperative and collaborative relationships to enable choices leading to productive life experiences.,-80.0235325,40.4556291
Mariana Bracetti Academy Charter School,2501 Kensington Ave.,"Philadelphia, PA 19125",215-291-4436,2001,1155,12-Jun,Open,"Core curriculum with focus on math, science and technology.",-75.1293972,39.9874185
Maritime Academy Charter School,2275 Bridge St.,"Philadelphia, PA 19137",215-535-4555,2003,769,12-May,Open,"Hands-on projects, interdisciplinary classroom lessons and computer-supported curriculum.",-75.0689154,40.0089675
MAST Community Charter School,1800 E. Byberry Rd.,"Philadelphia, PA 19116",267-348-1100,1999,1240,K-12,Open,"Seeks to teach world-class standards with a focus on math, science, and technology through a consistent pathway for student learning and development. Curriculum is integrated and constructivist.",-75.0044908,40.1127955
Mastery Charter High School - Lenfest,35 S. 4th St.,"Philadelphia, PA 19106",215-922-1902,2001,435,12-Jul,Open,Technology themed high school that prepares urban youth for college and the information-based economy.,-75.1474167,39.9495248
Mastery Charter School - Franklin Smedley School,1790 Bridge St,"Philadelphia, PA 19124",215-537-2523,2010,595,K-5,Open,,-75.0735221,40.0197883
Mastery Charter School - Pickett Campus,5700 Wayne Ave,"Philadelphia, PA 19144",215-866-9000,2007,345,10-Jul,Open,Technology themed high school that prepares urban youth for college and the information-based economy.,-75.1789177,40.0317484
Mastery Charter School - Shoemaker Campus,5301 Media St.,"Philadelphia, PA 19131",267-296-7111,2006,436,11-Jul,Open,Technology themed school that prepares urban youth for college and the information-based economy. Will expand to 12.,-75.2297008,39.9755151
Mastery Charter School - Thomas Middle School Campus,927 Johnston St.,"Philadelphia, PA 19148",267-236-0036,2005,450,12-Jul,Open,Technology themed high school that prepares urban youth for college and the information-based economy. Will expand to 12.,-75.1633932,39.9145163
Mastery Charter School - William B. Mann School,5376 W. Berks St,"Philadelphia, PA 19131",215-581-5516,2010,455,K-5,Open,,-75.2313939,39.9859687
Mastery Charter School - William F. Harrity School,5601 Christian St,"Philadelphia, PA 19143",215-471-2908,2010,830,K-8,Open,,-75.2355095,39.9484682
"Mathematics, Civics, and Sciences Charter School of Philadelphia",447 N. Broad St.,"Philadelphia, PA 19132",215-923-4880,1999,880,12-Jan,Open,Nurturing environment for students of diverse learning styles. Instruction technique uses visual aides and hands-on experiences.,-75.1615843,39.9612535
Montessori Regional Charter School,2910 Sterrettania Rd.,"Erie, PA 16506",814-833-7771,2004,204,K-6,Open,Public Montessori curriculum.,-80.140043,42.0846469
Multi-Cultural Academy Charter School,3821 N. Broad St.,"Philadelphia, PA 19140",215-227-0513,1998,200,12-Sep,Open,Focus on holistic development through a standards-driven curriculum.,-75.1507092,40.0113619
New Foundations Charter School,8001 Torresdale Ave.,"Philadelphia, PA 19136",215-624-8100,2000,570,K-8,Open,"Academic, social and emotional foundations and skills necessary to become high achieving socially competent stewards of their community.",-75.0250248,40.035232
New Hope Academy Charter School,459 W. King St.,"York, PA 17401",717-845-4046,2007,162,8-Jul,Open,Technology-based program in an urban setting. Will expand to grade 12.,-76.738563,39.957906
New Media Technology Charter High School,840 Thouron Ave.,"Philadelphia, PA 19150",267-286-6900,2004,484,12-Sep,Open,Revolutionary project-based learning model that incorporates traditional high school curriculum with tangible projects to bring their core academic subjects to life.,-75.171716,40.073039
New Media Technology Charter Middle School,340 E. Haines St.,"Philadelphia, PA 19144",267-286-6900,2004,484,8-May,Open,Revolutionary project-based learning model that incorporates traditional high school curriculum with tangible projects to bring their core academic subjects to life.,-75.172102,40.042686
Nittany Valley Charter School,1612 Norma Avenue,"State College, PA 16801",814-867-3842,1998,48,8-Jan,Open,Small classes responding to the needs of the whole child.,-77.8413493,40.7846155
Northeast Charter School,110 Betty St.,"Eynon, PA 18403-1918",570-876-5625,1999,60,12-Jul,Open,Offers programs for at-risk students.,-75.5751746,41.496468
Northside Urban Pathways Charter School,914 Penn Ave.,"Pittsburgh, PA 15222",412-392-4601,1998,300,12-Jun,Open,Standards-based curriculum.,-79.9975852,40.4438517
Northwood Academy Charter School - Castor Ave.,4621 Castor Ave.,"Philadelphia, PA 19124",215-289-5606,2005,758,K-8,Open,"Promotes critical thinkers, skilled knowledge workers and an involvement in the community.",-75.0948697,40.0204745
Northwood Academy Charter School - Penn St.,4290 Penn St.,"Philadelphia, PA 19124",215-289-5606,2005,758,K-8,Open,,-75.090823,40.011951
Pan American Academy Charter School,126-136 W. Dauphin St.,"Philadelphia, PA 19133",215-425-1212,2008,281,K-8,Open,Stresses cultural awareness and is affiliated with the Congreso de Latinos Unidos Inc. community organization.,-75.1339689,39.984867
